Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"Arkansas Total Care, Inc.",AR,Health Plan,578,2023-09-21,Hacking/IT Incident,Network Server,Yes,
Virginia Dept. of Medical Assistance Services,VA,Health Plan,1229333,2023-09-18,Hacking/IT Incident,Network Server,Yes,
VA Dept. of Medical Assistance Services,VA,Health Plan,928,2023-09-14,Hacking/IT Incident,Network Server,Yes,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,315915,2023-09-07,Unauthorized Access/Disclosure,"Network Server, Other",No,
Delta Dental of California,CA,Health Plan,500,2023-09-05,Hacking/IT Incident,Network Server,No,
Indiana University Health,IN,Health Plan,1191,2023-08-31,Hacking/IT Incident,Network Server,Yes,
Serco Inc. Group Health Plan,VA,Health Plan,10140,2023-08-22,Hacking/IT Incident,Network Server,Yes,
Health Care Service Corporation,IL,Health Plan,192231,2023-08-21,Hacking/IT Incident,Network Server,Yes,
Blue Cross Blue Shield of Arizona,AZ,Health Plan,47485,2023-08-17,Hacking/IT Incident,Network Server,Yes,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,527,2023-08-17,Hacking/IT Incident,Network Server,Yes,
University of Utah ,UT,Health Plan,3914,2023-08-15,Hacking/IT Incident,Network Server,Yes,
"Nice Pak Products Inc., Health and Welfare Benefits Plan",NJ,Health Plan,8487,2023-08-14,Hacking/IT Incident,Network Server,No,
VNS Health Plans,NY,Health Plan,103775,2023-08-14,Hacking/IT Incident,Network Server,Yes,
"American National Group, LLC",TX,Health Plan,47711,2023-08-11,Hacking/IT Incident,Network Server,No,
Colorado Department of Health Care Policy & Financing,CO,Health Plan,4091794,2023-08-11,Hacking/IT Incident,Network Server,Yes,
Madera County,CA,Health Plan,1146,2023-08-09,Unauthorized Access/Disclosure,Email,No,
Virginia Dept. of Medical Assistance Services,VA,Health Plan,423824,2023-08-09,Hacking/IT Incident,Network Server,Yes,
Premera Blue Cross,WA,Health Plan,33212,2023-08-08,Hacking/IT Incident,Network Server,Yes,
Missouri Department of Social Services,MO,Health Plan,739884,2023-08-07,Hacking/IT Incident,Network Server,Yes,
Indiana University Health,IN,Health Plan,21383,2023-08-04,Hacking/IT Incident,Network Server,Yes,
Unum Group SACE,TN,Health Plan,531732,2023-08-03,Hacking/IT Incident,Network Server,No,
Self-insured group health plans sponsored by the City of Dallas,TX,Health Plan,30253,2023-08-03,Hacking/IT Incident,Network Server,No,
Plumbers Local 8 Health & Welfare Fund,MO,Health Plan,4790,2023-08-02,Hacking/IT Incident,Email,No,
"The Health Plan of West Virginia, Inc.",WV,Health Plan,1292,2023-08-01,Hacking/IT Incident,Network Server,No,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,398319,2023-07-28,Hacking/IT Incident,Network Server,No,
Centers for Medicare & Medicaid Services,MD,Health Plan,1362470,2023-07-28,Hacking/IT Incident,Network Server,Yes,
CareSource,OH,Health Plan,3180537,2023-07-27,Unauthorized Access/Disclosure,Network Server,No,
"Batesville Tool & Die, Inc.",IN,Health Plan,574,2023-07-21,Hacking/IT Incident,Network Server,No,
"Associated Pathologists, LLC dba PathGroup Health Plan",TN,Health Plan,2031,2023-07-18,Hacking/IT Incident,Network Server,Yes,
"Care N' Care Insurance Company, Inc.",TX,Health Plan,33032,2023-07-14,Hacking/IT Incident,Network Server,Yes,
Hines Interests Limited Partnership,TX,Health Plan,3000,2023-07-13,Hacking/IT Incident,"Network Server, Other",Yes,
Molina Healthcare,CA,Health Plan,7702,2023-07-11,Hacking/IT Incident,Network Server,Yes,
AHCCCS,AZ,Health Plan,2632,2023-06-30,Unauthorized Access/Disclosure,Network Server,No,
Health First Health Plans,FL,Health Plan,701,2023-06-30,Unauthorized Access/Disclosure,Paper/Films,No,
"GlobalHealth Holdings, LLC",OK,Health Plan,622,2023-06-22,Hacking/IT Incident,Network Server,Yes,
Limbach Facility Services LLC Group Benefit Plan,PA,Health Plan,1392,2023-06-22,Hacking/IT Incident,Network Server,No,
Humana Inc.,KY,Health Plan,9372,2023-06-15,Unauthorized Access/Disclosure,Paper/Films,No,
Parker Drilling Company Group Health and Flexible Benefit Plan,TX,Health Plan,5973,2023-06-15,Hacking/IT Incident,Network Server,No,
Idaho Department of Health & Welfare,ID,Health Plan,2501,2023-06-12,Unauthorized Access/Disclosure,Network Server,Yes,
Uponor North America,MN,Health Plan,1048,2023-06-08,Hacking/IT Incident,Network Server,No,
