Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Sutter North Surgery Center ,CA,Healthcare Provider,861,2023-09-08,Hacking/IT Incident,Network Server,Yes,
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,1431,2023-09-08,Unauthorized Access/Disclosure,Other,No,
Ryders Health Management LLC ,CT,Healthcare Provider,7252,2023-09-07,Hacking/IT Incident,Network Server,No,
Roseman University of Health Sciences,NV,Healthcare Provider,4622,2023-09-06,Hacking/IT Incident,Network Server,No,
Amerita,KS,Healthcare Provider,219707,2023-09-05,Hacking/IT Incident,Network Server,No,
Bloom Health Centers,MD,Healthcare Provider,1545,2023-09-01,Unauthorized Access/Disclosure,Email,No,
"North Mississippi Medical Center, Inc.",MS,Healthcare Provider,950,2023-09-01,Hacking/IT Incident,Email,No,
"MedMinder Systems, Inc.",MA,Healthcare Provider,12146,2023-09-01,Hacking/IT Incident,Network Server,No,
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,1700,2023-08-31,Hacking/IT Incident,Network Server,No,
"Mountain View Family Practice, PC",MA,Healthcare Provider,5139,2023-08-31,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
"PurFoods, LLC",IA,Healthcare Provider,1229333,2023-08-25,Hacking/IT Incident,Network Server,No,
Associates in Pediatric Dentistry,LA,Healthcare Provider,9703,2023-08-25,Hacking/IT Incident,Email,No,
Detroit Central City Community Mental Health,MI,Healthcare Provider,1412,2023-08-24,Hacking/IT Incident,Email,No,
Milan Eye Center,GA,Healthcare Provider,67336,2023-08-23,Hacking/IT Incident,Network Server,Yes,
Vecino Health Centers,TX,Healthcare Provider,1339,2023-08-22,Hacking/IT Incident,Network Server,No,
McAlester Regional Health Center,OK,Healthcare Provider,500,2023-08-21,Hacking/IT Incident,"Desktop Computer, Network Server",No,
Illinois Department of Public Health,IL,Healthcare Provider,126000,2023-08-18,Hacking/IT Incident,Network Server,No,
"Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF",IL,Healthcare Provider,2603,2023-08-18,Hacking/IT Incident,Network Server,Yes,
UofL Health ,KY,Healthcare Provider,8175,2023-08-18,Hacking/IT Incident,Network Server,No,
"SouthCoast Medical Group, LLC",GA,Healthcare Provider,501,2023-08-17,Hacking/IT Incident,Network Server,No,
Morris Hospital & Healthcare Centers,IL,Healthcare Provider,248943,2023-08-17,Hacking/IT Incident,Network Server,No,
The Harris Center for Mental Health and IDD,TX,Healthcare Provider,599367,2023-08-17,Hacking/IT Incident,"Network Server, Other",Yes,
SUNY at Buffalo School of Dental Medicine,NY,Healthcare Provider,765,2023-08-16,Hacking/IT Incident,Network Server,Yes,
A-Family Dental Care Center PC,PA,Healthcare Provider,2800,2023-08-16,Unauthorized Access/Disclosure,Network Server,No,
"Kennedy University Hospital, Inc. t/a Jefferson Health ",NJ,Healthcare Provider,4140,2023-08-15,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,
"Monocacy Valley Dental Brian K. Motz, DDS, PC",MD,Healthcare Provider,4000,2023-08-15,Theft,Laptop,No,
Three Crowns Park,IL,Healthcare Provider,516,2023-08-11,Hacking/IT Incident,Email,No,
El Centro Del Barrio d/b/a CentroMed,TX,Healthcare Provider,350000,2023-08-11,Hacking/IT Incident,Network Server,No,
Coastal Orthopedics & Sports Medicine of Southwest Florida,FL,Healthcare Provider,501,2023-08-10,Hacking/IT Incident,Network Server,No,
iTrust Wellness Group,SC,Healthcare Provider,981,2023-08-10,Hacking/IT Incident,Email,No,
Lurie Children’s Surgical Foundation ,IL,Healthcare Provider,1997,2023-08-08,Hacking/IT Incident,Network Server,Yes,
Spinal and Sports Care Clinic PS,WA,Healthcare Provider,1100,2023-08-08,Hacking/IT Incident,Network Server,No,
Redwood Coast Regional Center,CA,Healthcare Provider,1345,2023-08-07,Hacking/IT Incident,Email,No,
Cranberry Township Emergency Medical Service,PA,Healthcare Provider,1247,2023-08-07,Hacking/IT Incident,Network Server,Yes,
Capital Neurological Surgeons,CA,Healthcare Provider,1769,2023-08-04,Hacking/IT Incident,Email,No,
Brigham and Women's Hospital,MA,Healthcare Provider,987,2023-08-04,Unauthorized Access/Disclosure,Other,No,
