Name of Covered Entity;State;Covered Entity Type;Individuals Affected;Breach Submission Date;Type of Breach;Location of Breached Information;Business Associate Present;Web Description
Arkansas Total Care, Inc.;AR;Health Plan;578;09/21/2023;Hacking/IT Incident;Network Server;Yes;
Virginia Dept. of Medical Assistance Services;VA;Health Plan;1229333;09/18/2023;Hacking/IT Incident;Network Server;Yes;
Nuance Communications, Inc.;MA;Business Associate;1225054;09/15/2023;Hacking/IT Incident;Network Server;Yes;
VA Dept. of Medical Assistance Services;VA;Health Plan;928;09/14/2023;Hacking/IT Incident;Network Server;Yes;
Pharm-Pacc Corporation;FL;Business Associate;3749;09/12/2023;Hacking/IT Incident;Network Server;Yes;
Sutter North Surgery Center ;CA;Healthcare Provider;861;09/08/2023;Hacking/IT Incident;Network Server;Yes;
Laboratory Corporation of America Holdings dba LabCorp;NC;Healthcare Provider;1431;09/08/2023;Unauthorized Access/Disclosure;Other;No;
Ryders Health Management LLC ;CT;Healthcare Provider;7252;09/07/2023;Hacking/IT Incident;Network Server;No;
United Healthcare Services, Inc. Single Affiliated Covered Entity;CT;Health Plan;315915;09/07/2023;Unauthorized Access/Disclosure;Network Server, Other;No;
Roseman University of Health Sciences;NV;Healthcare Provider;4622;09/06/2023;Hacking/IT Incident;Network Server;No;
Amerita;KS;Healthcare Provider;219707;09/05/2023;Hacking/IT Incident;Network Server;No;
Delta Dental of California;CA;Health Plan;500;09/05/2023;Hacking/IT Incident;Network Server;No;
Bloom Health Centers;MD;Healthcare Provider;1545;09/01/2023;Unauthorized Access/Disclosure;Email;No;
North Mississippi Medical Center, Inc.;MS;Healthcare Provider;950;09/01/2023;Hacking/IT Incident;Email;No;
MedMinder Systems, Inc.;MA;Healthcare Provider;12146;09/01/2023;Hacking/IT Incident;Network Server;No;
Enzo Clinical Labs, Inc.;NY;Healthcare Provider;1700;08/31/2023;Hacking/IT Incident;Network Server;No;
Mountain View Family Practice, PC;MA;Healthcare Provider;5139;08/31/2023;Hacking/IT Incident;Electronic Medical Record, Network Server;No;
Indiana University Health;IN;Health Plan;1191;08/31/2023;Hacking/IT Incident;Network Server;Yes;
